"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/1992","2,150.41","2,181.90","2,184.99","2,145.87","","0.82%"
"01/22/1992","2,132.82","2,103.58","2,135.74","2,103.58","","0.81%"
"01/21/1992","2,115.71","2,119.35","2,157.87","2,107.64","","0.41%"
"01/20/1992","2,107.07","2,094.54","2,114.27","2,094.27","","-0.42%"
"01/17/1992","2,115.89","2,079.23","2,118.15","2,066.50","","5.66%"
"01/16/1992","2,002.60","2,003.31","2,021.62","1,997.86","","-0.87%"
"01/15/1992","2,020.18","2,018.15","2,024.62","2,012.62","","1.11%"
"01/14/1992","1,998.07","1,981.87","1,998.07","1,976.54","","-0.04%"
"01/13/1992","1,998.88","1,973.51","2,006.84","1,972.16","","1.34%"
"01/09/1992","1,972.53","1,950.99","1,976.16","1,948.15","","1.19%"
"01/08/1992","1,949.31","1,946.95","1,953.83","1,945.48","","-0.72%"
"01/07/1992","1,963.53","1,961.46","1,963.53","1,949.38","","-0.20%"
"01/06/1992","1,967.55","2,000.49","2,005.53","1,966.39","","-1.45%"
"01/03/1992","1,996.50","2,006.66","2,007.22","1,993.77","","1.39%"
"01/02/1992","1,969.16","1,965.68","1,973.59","1,960.90","","0.60%"
"01/01/1992","1,957.33","1,957.33","1,957.33","1,957.33","","2.54%"
"12/24/1991","1,908.85","1,839.18","1,946.28","1,908.85","","-0.33%"
"12/23/1991","1,915.12","1,890.69","1,915.58","1,886.03","","2.23%"
"12/20/1991","1,873.28","1,870.23","1,895.11","1,870.23","","-0.13%"
"12/19/1991","1,875.67","1,848.20","1,876.04","1,848.20","","2.23%"
"12/18/1991","1,834.78","1,809.73","1,835.37","1,807.21","","1.11%"
"12/17/1991","1,814.67","1,823.51","1,837.03","1,813.29","","-0.59%"
"12/16/1991","1,825.45","1,813.28","1,825.90","1,804.81","","-0.68%"
"12/12/1991","1,837.88","1,845.19","1,860.69","1,837.88","","-1.23%"
"12/11/1991","1,860.75","1,870.92","1,874.21","1,860.75","","-0.62%"
"12/10/1991","1,872.45","1,870.45","1,875.73","1,863.47","","-0.39%"
"12/09/1991","1,879.73","1,911.82","1,917.53","1,879.73","","-1.02%"
"12/06/1991","1,899.11","1,886.10","1,899.50","1,880.27","","1.19%"
"12/05/1991","1,876.73","1,871.86","1,876.73","1,863.56","","-0.46%"
"12/04/1991","1,885.44","1,888.90","1,895.82","1,885.41","","-0.39%"
"12/03/1991","1,892.84","1,891.31","1,893.36","1,881.52","","-0.60%"
"12/02/1991","1,904.26","1,918.61","1,920.99","1,899.55","","0.05%"
"11/29/1991","1,903.31","1,890.77","1,903.31","1,890.77","","2.53%"
"11/28/1991","1,856.34","1,853.53","1,877.14","1,853.53","","-0.43%"
"11/27/1991","1,864.39","1,871.32","1,877.92","1,863.26","","0.46%"
"11/26/1991","1,855.94","1,872.90","1,890.78","1,855.54","","-1.62%"
"11/22/1991","1,886.56","1,907.34","1,907.34","1,881.99","","-1.26%"
"11/20/1991","1,910.59","1,944.55","1,955.29","1,910.02","","-0.70%"
"11/19/1991","1,924.15","1,902.88","1,924.15","1,902.88","","2.82%"
"11/18/1991","1,871.32","1,872.66","1,885.92","1,862.34","","-0.45%"
"11/15/1991","1,879.69","1,885.14","1,885.14","1,871.86","","-0.79%"
"11/14/1991","1,894.67","1,888.55","1,904.15","1,888.55","","0.70%"
"11/13/1991","1,881.50","1,865.95","1,881.50","1,858.49","","0.14%"
"11/12/1991","1,878.82","1,886.54","1,897.09","1,876.12","","-0.88%"
"11/11/1991","1,895.53","1,895.53","1,895.53","1,895.53","","-0.80%"
"11/08/1991","1,910.81","1,925.13","1,928.61","1,902.55","","-0.37%"
"11/05/1991","1,917.96","1,927.18","1,927.18","1,906.48","","0.43%"
"11/01/1991","1,909.80","1,914.12","1,917.06","1,903.22","","1.06%"
"10/31/1991","1,889.84","1,866.96","1,893.27","1,866.96","","1.50%"
"10/30/1991","1,861.85","1,878.10","1,897.71","1,861.85","","-1.65%"
"10/29/1991","1,893.16","1,863.75","1,893.16","1,863.75","","4.85%"
"10/26/1991","1,805.52","1,795.61","1,805.52","1,794.62","","0.65%"
"10/24/1991","1,793.78","1,808.52","1,811.78","1,793.78","","0.99%"
"10/23/1991","1,776.25","1,765.66","1,779.78","1,765.66","","0.68%"
"10/22/1991","1,764.24","1,741.06","1,764.24","1,740.12","","1.36%"
